object1,object2,morph1,morph2,comments,stage,u_app_1,g_app_1,r_app_1,i_app_1,z_app_1,u_app_2,g_app_2,r_app_2,i_app_2,z_app_2,u_app_err_1,g_app_err_1,r_app_err_1,i_app_err_1,z_app_err_1,u_app_err_2,g_app_err_2,r_app_err_2,i_app_err_2,z_app_err_2,u_abs_1,g_abs_1,r_abs_1,i_abs_1,z_abs_1,u_abs_2,g_abs_2,r_abs_2,i_abs_2,z_abs_2,plate1,mjd1,fiberid1,plate2,mjd2,fiberid2,specz1,specz2,photoz1,photoz2,ra1,ra2,dec1,dec2,vote1,vote2,kmass1,kmass2,kmass_err1,kmass_err2
587722984418705484,587722984418705536,s,s,,1,18.2658,17.4336,17.1457,16.7944,16.656,18.0431,17.3338,17.23,17.0037,16.9663,0.023593,0.0056075,0.00591241,0.00641164,0.0177104,0.0156523,0.00459392,0.00515841,0.00581023,0.0162907,-18.2528,-18.9026,-19.205,-19.389,-19.5405,-16.7625,-17.3382,-17.4359,-17.5798,-17.6029,509,52374,206,278,51900,405,0.0612464,0.0613125,0.05483,0.0262447,166.95255,166.95493,0.92430109,0.92238122,0.596337,0.350557,9.85629,9.55331,0.0360159,0.0353508
587722984420409430,587722984420409472,e,s,,2,18.8183,16.6748,15.7661,15.3396,14.9954,18.0008,16.8159,16.1819,15.7743,15.463,0.0496783,0.0044563,0.00330651,0.00335034,0.00649613,0.0344449,0.00549873,0.00465084,0.00487223,0.0111174,-18.1556,-20.1957,-20.9452,-21.3213,-21.6512,-20.2955,-21.4218,-21.9319,-22.2111,-22.4122,281,51614,329,280,51612,537,0.0743948,0.0745741,0.0648278,0.116793,170.83278,170.83617,1.0213792,1.023801,0.430442,0.522027,11.1621,10.7629,0.0667974,0.031439
587722984432009381,587722984432009344,s,s,,2,19.0711,17.8415,17.3556,16.8566,16.6291,19.6075,18.3988,17.6716,17.4161,17.1542,0.0433775,0.00726766,0.00682696,0.00668317,0.0165611,0.0674485,0.0112732,0.00871239,0.0101829,0.0258337,-19.1315,-20.3073,-20.6986,-21.0579,-21.1747,-12.7077,-13.8579,-14.5462,-14.7791,-15.0194,294,51986,580,-9999,-9999,-9999,0.0989629,-9999.0,0.114775,0.00883044,197.31468,197.31329,0.94463521,0.943627,0.696836,-9999.0,10.4457,10.238,0.043264,0.0438917
587722984438104266,587722984438104320,s,s,,2,19.205,18.148,17.8299,17.5354,17.5205,18.8521,17.9986,17.7749,17.5013,17.5915,0.0364985,0.00710381,0.00706285,0.00802967,0.024349,0.0314925,0.00707147,0.00763614,0.00891993,0.030458,-16.9658,-17.842,-18.1734,-18.3164,-18.3338,-16.8043,-17.4932,-17.7242,-17.8747,-17.7749,532,51993,289,302,51688,371,0.0696109,0.0695633,0.0468422,0.0375914,211.25018,211.25076,0.84686267,0.84840584,0.618723,0.540851,9.70147,9.58312,0.0344652,0.0352999
587722984442626086,587722984442626048,s,s,,2,17.9383,17.0798,16.6374,16.215,16.0585,19.8973,18.3875,17.2108,16.793,16.5069,0.0209352,0.00483146,0.00462543,0.00480927,0.0123549,0.0634801,0.00867348,0.00537132,0.00545784,0.0117566,-20.88,-21.7063,-22.0437,-22.2399,-22.3936,-20.0943,-21.5705,-22.3139,-22.5791,-22.7907,537,52027,210,-9999,-9999,-9999,0.0736309,-9999.0,0.146056,0.196459,221.53569,221.53812,0.86433047,0.86550665,0.619017,-9999.0,10.4571,10.5245,0.0309423,0.0603302
587722984443674817,587722984443674880,eu,s,,3,18.1014,16.1161,15.2833,14.8531,14.5089,22.4058,20.4235,19.2826,18.4782,17.8856,0.0232687,0.00318207,0.00266093,0.00268733,0.00447348,0.265558,0.0290201,0.0156369,0.0132336,0.0214917,-16.9598,-18.8752,-19.6059,-19.9962,-20.3135,-20.3176,-22.8991,-23.3788,-23.6921,-24.0643,309,51666,535,-9999,-9999,-9999,0.0437764,-9999.0,0.0288316,0.533282,223.93597,223.93668,0.86612374,0.86663961,0.88379,-9999.0,10.6635,9.59747,0.0608896,0.0554588
587724197205770386,587724197205770368,s,s,,2,17.9727,16.8605,16.4576,16.1854,16.1033,18.5912,17.7171,17.2552,16.9058,16.6587,0.0284155,0.00690045,0.00572521,0.00664405,0.0207449,0.0315565,0.00837513,0.00726356,0.00785212,0.0200546,-17.8829,-18.8388,-19.2479,-19.4042,-19.4524,-20.2667,-21.1681,-21.5255,-21.6823,-21.9066,423,51821,86,-9999,-9999,-9999,0.0488154,-9999.0,0.0414693,0.155651,19.204863,19.200928,13.458475,13.456985,0.492913,-9999.0,9.96808,9.9157,0.0375249,0.029877
587724197207212176,587724197207212160,s,s,,2,19.6072,17.8415,16.791,16.102,15.8687,17.4949,15.8776,15.071,14.5782,14.2765,0.0711532,0.00902472,0.00516738,0.0044659,0.0104322,0.017988,0.0034207,0.00270569,0.00264581,0.00479149,-20.954,-22.7412,-23.2599,-23.7623,-23.9044,-20.8741,-22.3483,-22.9462,-23.3229,-23.5519,425,51884,213,-9999,-9999,-9999,0.0720399,-9999.0,0.235471,0.107437,22.657326,22.660849,13.214437,13.212837,0.982491,-9999.0,10.8193,11.2291,0.0596119,0.0457496
587724197210357826,587724197210357888,s,s,,3,17.1636,16.1991,15.8296,15.5523,15.3769,18.4577,17.2794,16.7285,16.4655,16.4007,0.0131264,0.00386585,0.00361942,0.0038953,0.00884177,0.0317688,0.00717944,0.00592579,0.00685677,0.0189928,-18.7017,-19.4532,-19.794,-19.9234,-20.0683,-6.03646,-7.11132,-7.5836,-7.79639,-7.81481,427,51900,248,-9999,-9999,-9999,0.0319488,-9999.0,0.038057,2.20784E-4,29.943436,29.943289,12.4575,12.45844,0.485974,-9999.0,9.77944,9.49589,0.0408776,0.0380018
587724199351025859,587724199351025920,s,s,,2,18.1769,16.9138,16.2826,15.8499,15.631,18.1418,16.7179,16.0042,15.6014,15.3686,0.0222641,0.00448499,0.00382269,0.00404822,0.00857288,0.033424,0.0051442,0.00417956,0.00457899,0.010471,-20.2625,-21.4213,-21.9092,-22.18,-22.2625,-19.281,-20.5418,-21.1355,-21.4171,-21.5656,420,51871,542,421,51821,343,0.07712,0.07093,0.116138,0.0744881,14.077903,14.078685,15.421529,15.425529,0.484982,0.358367,10.7386,10.7004,0.0384358,0.0423137
