ID	SDSSID	PRI_DR7_ID	PRI_DR8_ID	SEC_DR7_ID	SEC_DR8_ID	PRI_DR7_U	PRI_DR7_G	PRI_DR7_R	PRI_DR7_I	PRI_DR7_Z	PRI_DR7_SPECZ	PRI_DR7_PHOTOZ	PRI_DR7_PHOTOZ2	PRI_DR8_U	PRI_DR8_G	PRI_DR8_R	PRI_DR8_I	PRI_DR8_Z	PRI_DR8_SPECZ	PRI_DR8_PHOTOZ	PRI_DR8_PHOTOZ2	SEC_DR7_U	SEC_DR7_G	SEC_DR7_R	SEC_DR7_I	SEC_DR7_Z	SEC_DR7_SPECZ	SEC_DR7_PHOTOZ	SEC_DR7_PHOTOZ2	SEC_DR8_U	SEC_DR8_G	SEC_DR8_R	SEC_DR8_I	SEC_DR8_Z	SEC_DR8_SPECZ	SEC_DR8_PHOTOZ	SEC_DR8_PHOTOZ2
38	587742571610243080	587742571610243080	1237668292835147790	587742571610243936	12376682928351477898	18.516298	16.851789	16.05699	15.618672	15.269626	0.0	0.059578	0.0	16.961769	15.169388	14.345607	13.969029	13.680534	0.0	0.0	0.0	24.985798	25.329424	22.142723	22.906973	22.362856	0.0	0.280162	0.0	17.046623	15.155322	14.313459	13.948307	13.643681	0.0	0.066063	0.0
39	587745402001817662	587745402001817662	1237671123226722377	587745402001817663	12376711232267223789	16.453062	14.878195	14.1649	13.793009	13.499049	0.028902	0.058292	0.0	16.494596	14.811619	14.096944	13.727604	13.472436	0.028802	0.056559	0.0	17.733791	15.799287	14.963701	14.547496	14.172855	0.0	0.05588	0.0	17.33823	15.651606	14.827108	14.427022	14.084343	0.0	0.0	0.0
40	587746029596311590	587746029596311590	1237671072227459177	587746029596312002	12376710722275246700	15.964752	14.425241	13.803164	13.463149	13.164372	0.0	0.061346	0.0	16.166424	14.570735	13.933573	13.589311	13.282685	0.0	0.071204	0.0	22.074154	21.21846	20.575649	20.485651	20.524887	0.0	0.037743	0.0	23.98765	24.071095	22.977547	22.83831	21.675625	0.0	0.477766	0.0
41	588011124116422756	588011124116422749	1237655370364616782	588011124116422749	12376553703646167821	16.283689	14.96382	14.440279	14.143777	13.868213	0.0	0.057162	0.0	16.334633	15.087278	14.553993	14.146065	13.907469	0.0	0.06733	0.0	16.283689	14.96382	14.440279	14.143777	13.868213	0.0	0.057162	0.0	16.334633	15.087278	14.553993	14.146065	13.907469	0.0	0.06733	0.0
42	588013383816904792	588013383816904792	1237657630065098875	588013383816904793	12376576300650988692	18.285387	16.826942	16.132231	15.723036	15.497894	0.080801	0.084954	0.0	18.264736	16.845682	16.139589	15.735942	15.512693	0.080826	0.101606	0.0	18.043587	16.757332	16.072157	15.612058	15.3224	0.081546	0.093965	0.0	23.942314	21.759726	21.30551	21.663433	20.761745	0.0	0.0	0.0
43	588017604696408086	588017604696408105		588017604696408575	12376618509446021593	23.408102	22.900631	22.778343	22.283215	22.344461	0.0	0.088315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.446789	23.156534	22.590666	21.754488	21.314646	0.0	0.435205	0.0	27.762226	16.573174	16.958078	16.23176	28.081171	0.0	0.072918	0.0
44	588017604696408195	588017604696408195	1237661850944602320	588017604696408555	12376618509446027024	17.673353	15.874339	15.093785	14.731662	14.446578	0.059753	0.043833	0.0	17.560751	15.809113	15.036358	14.679456	14.390519	0.0	0.0	0.0	23.243223	22.725645	21.933266	21.521418	21.239536	0.0	0.244511	0.0	23.024675	21.652025	21.033504	20.57415	20.302977	0.0	0.098262	0.0
45	588017702948962343	588017702948962343	1237661949197156388	588017702948962344	12376619491971563895	16.289959	14.599575	13.796317	13.392061	13.03448	0.029352	0.067657	0.0	16.30654	14.610924	13.811399	13.399313	13.04424	0.029326	0.046032	0.0	17.016848	15.659545	14.966719	14.609106	14.277616	0.0	0.05885	0.0	16.954147	15.572708	14.892694	14.547841	14.226671	0.0	0.071243	0.0
46	588017978901528612	588017978901528612	1237662225149722680	588017978901528620	12376622251497226876	14.940562	13.060994	12.208369	11.750557	11.35215	0.011636	0.063342	0.0	14.63665	13.039246	12.177679	11.687161	11.284376	0.01158	0.073568	0.0	18.163033	17.070515	16.697395	16.599192	16.358843	0.0	0.029495	0.0	20.801317	19.486635	19.592304	20.248381	21.001375	0.0	0.103795	0.0
47	588018055130710322	588018055130710322	1237662301378904356	588018055130710321		17.790899	16.356461	15.677722	15.230852	14.927802	0.056831	0.073477	0.0	17.799335	16.313547	15.646167	15.213793	14.934903	0.0	0.0	0.0	18.694578	17.002901	16.366016	16.073456	15.824563	0.056812	0.06105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	758874299603222717	758874299603222717	1237663234988048479	758874299603222658	12376632349880484928	24.437088	22.767052	13.098188	12.72359	12.421151	0.0	0.26089	0.0	15.775378	13.905824	13.018314	12.62107	12.335602	0.0	0.082382	0.0	24.598639	24.493612	21.956472	21.544205	21.047693	0.0	0.164119	0.0	16.567896	15.093426	15.75272	19.453711	24.918556	0.0	0.0	0.0
49	587736523764334706	587736523764334706	1237662266459488385	587736523764334708	12376622664594883879	16.095842	14.401807	13.691675	13.358402	13.191924	0.028898	0.061859	0.0	15.590333	14.158748	13.44792	13.108159	12.873366	0.028822	0.074206	0.0	16.073149	14.973286	14.745485	14.303885	14.222762	0.0	0.062782	0.0	19.332312	18.445343	17.895147	17.705097	17.472479	0.0	0.148872	0.0
50	587747120521216156	587747120521216156	1237680243598622767	587747120521216157	12376802435986227790	20.157509	18.505529	17.687422	17.12797	16.800165	0.0	0.100997	0.0	19.453333	17.406387	16.613756	16.100292	15.815691	0.0	0.108391	0.0	17.221659	16.045584	15.553334	15.217215	15.094347	0.0	0.084725	0.0	18.953272	24.989857	24.976107	24.474741	17.791409	0.0	0.553985	0.0
51	588007005230530750	588007005230530750	1237651251478724805	588007005230530765	12376512514787248061	15.844373	14.041452	13.255326	12.79428	12.451365	0.0	0.067699	0.0	15.680089	13.845348	12.999251	12.553738	12.261398	0.0	0.071991	0.0	14.854392	13.808932	13.189305	12.790703	12.651865	0.0	0.146329	0.0	15.655613	14.145319	13.362346	12.988154	12.732655	0.0	0.0	0.0
52	758877153600208945	758877153600208945		758877153600208980	12376803101632758352	16.716722	14.785315	13.899213	13.458858	13.120443	0.0	0.066191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.544565	15.810463	14.942547	14.577682	14.282254	0.0	0.092686	0.0	17.585289	15.73754	14.935981	14.5591	14.275356	0.0	0.047161	0.0
53	587739720308818095	587739720308818090	1237665441533722825	587739720308818074	12376654415337228143	17.310011	16.056467	15.260267	14.870708	14.658152	0.0	0.164695	0.0	17.530741	16.070511	15.275871	14.888684	14.645576	0.0	0.0	0.0	19.038755	17.367189	16.507113	16.042986	15.656211	0.0	0.071171	0.0	18.448061	16.912674	16.180704	15.722683	15.43795	0.0	0.074482	0.0
54	1237678620102623480		1237678620102623480		12376786201026889074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.54928	18.569601	17.66976	17.185617	16.824156	0.0	0.076611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.10009	18.236904	17.297327	16.892805	16.590929	0.0	0.101178	0.0
